date,PM2_5,Wind_Speed,Wind_Direction,Humidity,Temperature,Diwali_Flag
2022-10-10,37.0,9.737499999999999,83.29166666666667,87.95833333333333,23.416666666666668,0
2022-10-11,35.0,5.4375,196.33333333333334,87.45833333333333,23.40416666666667,0
2022-10-12,57.0,7.0249999999999995,278.0416666666667,84.08333333333333,23.84583333333333,0
2022-10-13,61.0,9.479166666666666,301.875,74.5,23.837500000000002,0
2022-10-14,62.0,9.854166666666666,302.6666666666667,71.375,23.65416666666667,0
2022-10-15,95.0,7.704166666666667,266.1666666666667,70.29166666666667,23.979166666666668,0
2022-10-16,135.0,5.241666666666666,303.2083333333333,70.0,24.304166666666664,0
2022-10-17,112.0,7.3625,261.7916666666667,66.20833333333333,24.316666666666666,0
2022-10-18,110.0,7.604166666666667,224.41666666666666,64.29166666666667,24.145833333333332,0
2022-10-19,119.0,6.479166666666667,202.33333333333334,66.45833333333333,24.0,0
